	photo_cnt	photo_like_cnt	photo_like_max	photo_like_mean	photo_like_median	photo_month_mean	photo_repost_cnt	photo_repost_max	photo_repost_mean	photo_repost_median	photo_text	photo_text_len_cnt	photo_yer_mean	uid	vk_photo_ava_change_cnt	vk_photo_text_url_len_cnt	vk_photo_wall_ph_post_cnt
105	61	1645	110	26.9672131147541	17.0	5.083333333333333	0	0	0.0	0.0	    Original: https://www.instagram.com/p/BzpT3y7j555/ Original: https://www.instagram.com/p/BwusqiNhI0W/                 Original: https://www.instagram.com/p/BtlL-kwHICC/                Original: http://www.kesteloo.net/image/cache/data/LPs-13/2012102917.27.56-1000x1000.jpg                      	0.0	12.2	145238602	0	4	0
106	7	633	146	90.42857142857143	81.0	1.1666666666666667	0	0	0.0	0.0	      	0.0	2.3333333333333335	112994686	0	0	0
107	3	158	71	52.666666666666664	46.0	1.5	0	0	0.0	0.0	  ❣️	0.0	1.5	116586049	0	0	0
108	9	318	43	35.333333333333336	38.0	1.8	0	0	0.0	0.0	        	0.0	9.0	265975011	0	0	0
109	5	361	156	72.2	60.0	1.6666666666666667	0	0	0.0	0.0	 СТАВЬ КЛАСС ЕСЛИ ЗА ЗОЖ   	0.0	2.5	296527684	0	0	0
110	27	1237	90	45.81481481481482	45.0	2.4545454545454546	0	0	0.0	0.0	                          	0.0	4.5	82043956	0	0	0
111	29	135	16	4.655172413793103	4.0	2.9	0	0	0.0	0.0	                            	0.0	7.25	228249533	0	0	0
112	2	7	4	3.5	3.5	2.0	0	0	0.0	0.0	 	0.0	2.0	387889594	0	0	0
113	19	925	112	48.68421052631579	44.0	2.375	0	0	0.0	0.0	                  	0.0	4.75	173626282	0	0	0
114	25	4216	340	168.64	151.0	2.5	0	0	0.0	0.0	                        	0.0	6.25	156961333	0	0	0
115	9	491	101	54.55555555555556	42.0	1.5	0	0	0.0	0.0	        	0.0	2.25	134665523	0	0	0
116	68	3564	237	52.411764705882355	32.5	5.666666666666667	0	0	0.0	0.0	                                                           Охрененная баба сделала мне охрененную сигну 😎     Угадайка: где мои ноги? :D   	0.0	11.333333333333334	241205744	0	0	0
117	6	311	82	51.833333333333336	56.5	1.0	0	0	0.0	0.0	     	0.0	1.5	134715971	0	0	0
118	5	174	49	34.8	36.0	1.0	0	0	0.0	0.0	    	0.0	2.5	294230568	0	0	0
119	1	39	39	39.0	39.0	1.0	0	0	0.0	0.0		0.0	1.0	25549212	0	0	0
120	7	85	21	12.142857142857142	11.0	1.4	0	0	0.0	0.0	      	0.0	3.5	409049442	0	0	0
